ItemID,DataID,OldID,Continent,RivID,X,Y,Country,Year,Month,Primer,BarcodeRegion,BarcodeLength,SamVolume,SamReps,TotVolume,ReferDB
I023,D010,Ref010,Europe,NR018,-2.803956621,52.25298376,UK,2016,11,Riaz01,12S,130,0.05,6,0.3,Global_db
I024,D010,Ref010,Europe,NR018,-2.803956621,52.25298376,UK,2016,5,Riaz01,12S,130,0.05,6,0.3,Global_db
I025,D010,Ref010,Europe,NR018,-2.803956621,52.25298376,UK,2017,7,Riaz01,12S,130,0.05,6,0.3,Global_db
I026,D011,Ref011,Europe,NR019,0.074053988,52.53769915,UK,2017,11,Riaz01,12S,130,2,5,10,Custom_db
I033,D013,Ref013,South_America,NR020,-54.22607014,3.559646407,multiple,2017,10,Teleo,12S,108,34,2,68,Custom_db
I034,D013,Ref013,South_America,NR021,-52.52432396,2.761171682,multiple,2018,11,Teleo,12S,108,34,2,68,Custom_db
I043,D020,Ref022,North_America,NR022,-74.59282127,44.79410192,US,2015,8,Riaz03,12S,130,0.3,3,0.9,Custom_db
I044,D021,Ref023,Europe,NR023,9.988493109,53.47920589,Germany,2019,6,COI313,COI,316,0.2,3,0.6,Global_db
I048,D023,Ref025,Europe,NR024,3.601179232,45.17283125,France,NA,NA,Riaz01,12S,230,1,3,3,Global_db
I051,D026,Ref030,North_America,NR025,-149.5426189,63.63001461,US,2012,NA,AK12S,12S,200,2,1,2,Global_db
I052,D026,Ref030,North_America,NR025,-149.5426189,63.63001461,US,2012,NA,AK16S,16S,200,2,1,2,Global_db
I053,D026,Ref030,North_America,NR025,-149.5426189,63.63001461,US,2012,NA,AKCOIPro,COI,200,2,1,2,Global_db
I054,D026,Ref030,North_America,NR025,-149.5426189,63.63001461,US,2012,NA,AKCOISal,COI,200,2,1,2,Global_db
I055,D026,Ref030,North_America,NR025,-149.5426189,63.63001461,US,2013,NA,AK12S,12S,200,2,1,2,Global_db
I069,D026,Ref030,North_America,NR025,-149.5426189,63.63001461,US,2014,NA,AKCOISal,COI,200,2,1,2,Global_db
I057,D026,Ref030,North_America,NR025,-149.5426189,63.63001461,US,2013,NA,AK16S,16S,200,2,1,2,Global_db
I059,D026,Ref030,North_America,NR025,-149.5426189,63.63001461,US,2013,NA,AKCOIPro,COI,200,2,1,2,Global_db
